camera_id,marker_id,corner_index,residual_px,ransac_inlier,observations,used_observations,jitter_px,image_x,image_y,projected_x,projected_y,world_x_m,world_y_m
0,1,0,41.4329,0,30,30,0.7063,436.700,770.667,406.902,799.455,-0.115500,-0.047500
0,1,1,22.7471,0,30,30,0.4583,468.700,710.000,449.984,722.928,-0.115500,-0.020500
0,1,2,2.2496,1,30,30,0.6368,620.100,703.467,618.552,701.834,-0.088500,-0.020500
0,1,3,0.6860,1,30,30,0.6650,624.700,767.033,624.307,767.596,-0.088500,-0.047500
0,2,0,20.8169,0,30,30,0.4000,475.000,696.200,458.149,708.423,-0.115500,-0.013500
0,2,1,13.8623,0,30,30,0.6944,495.500,659.633,482.666,664.873,-0.115500,0.013500
0,2,2,1.5200,1,30,30,0.9268,615.133,651.700,614.069,650.614,-0.088500,0.013500
0,2,3,0.5229,1,30,30,0.7180,617.000,688.867,617.442,689.147,-0.088500,-0.013500
0,3,0,12.9230,0,24,24,0.4330,499.000,649.750,487.675,655.976,-0.115500,0.020500
0,3,1,9.9281,0,24,24,1.1532,513.292,626.292,503.492,627.881,-0.115500,0.047500
0,3,2,2.0884,1,24,24,0.6641,612.125,619.208,611.159,617.357,-0.088500,0.047500
0,3,3,0.7944,1,24,24,0.3511,613.000,641.958,613.373,642.660,-0.088500,0.020500
0,4,0,9.6712,0,3,3,0.4714,516.000,618.667,506.875,621.871,-0.115500,0.054500
0,4,1,8.4153,0,3,3,0.4714,526.333,602.000,517.922,602.249,-0.115500,0.081500
0,4,2,0.8836,1,3,3,0.0000,610.000,594.000,609.117,594.022,-0.088500,0.081500
0,4,3,0.4234,1,3,3,0.6667,610.333,611.667,610.682,611.907,-0.088500,0.054500
0,6,0,1.4623,1,30,30,0.4069,675.033,761.000,676.105,760.005,-0.081500,-0.047500
0,6,1,1.5557,1,30,30,0.4000,659.000,698.200,659.464,696.715,-0.081500,-0.020500
0,6,2,0.2116,1,30,30,0.4000,807.800,678.000,807.673,678.169,-0.054500,-0.020500
0,6,3,5.6066,0,30,30,0.5344,858.267,727.900,860.689,732.956,-0.054500,-0.047500
0,7,0,0.5408,1,30,30,0.3145,656.000,683.967,656.239,684.452,-0.081500,-0.013500
0,7,1,0.4694,1,30,30,0.6236,646.167,647.500,646.419,647.104,-0.081500,0.013500
0,7,2,0.8274,1,30,30,0.3399,764.867,635.000,765.145,634.221,-0.054500,0.013500
0,7,3,1.8867,1,30,30,0.7341,796.900,665.533,797.241,667.389,-0.054500,-0.013500
0,8,0,2.0771,1,6,6,0.4714,644.000,637.333,644.386,639.374,-0.081500,0.020500
0,8,1,0.4341,1,6,6,0.3727,638.000,615.167,637.910,614.742,-0.081500,0.047500
0,8,2,0.9318,1,6,6,0.0000,736.000,605.000,736.930,605.063,-0.054500,0.047500
0,8,3,0.6354,1,6,6,0.3727,758.000,626.833,758.440,627.292,-0.054500,0.020500
0,9,0,1.1956,1,27,27,0.6197,636.259,608.259,636.512,609.428,-0.081500,0.054500
0,9,1,0.7474,1,27,27,0.4157,632.000,591.222,631.921,591.965,-0.081500,0.081500
0,9,2,2.3071,1,27,27,1.0304,714.556,584.000,716.842,584.305,-0.054500,0.081500
0,9,3,1.7139,1,27,27,0.2619,731.074,599.000,732.260,600.237,-0.054500,0.054500
0,11,0,9.1954,0,30,22,0.7951,899.409,719.136,904.958,726.469,-0.047500,-0.047500
0,11,1,1.6674,1,30,30,0.5467,844.033,672.000,843.791,673.650,-0.047500,-0.020500
0,11,2,8.3666,0,30,27,0.9192,971.148,649.852,975.119,657.216,-0.020500,-0.020500
0,11,3,26.1413,0,30,30,0.6009,1043.233,686.867,1063.630,703.217,-0.020500,-0.047500
0,12,0,2.2557,1,30,30,0.6412,831.567,660.967,831.710,663.218,-0.047500,-0.013500
0,12,1,1.7313,1,30,30,0.8253,795.867,632.033,794.448,631.041,-0.047500,0.013500
0,12,2,1.6589,1,30,28,1.1037,903.000,620.821,902.247,619.343,-0.020500,0.013500
0,12,3,7.8537,0,30,30,0.8233,952.633,641.767,957.401,648.008,-0.020500,-0.013500
0,13,0,0.4462,1,30,30,0.8007,786.767,624.733,786.646,624.304,-0.047500,0.020500
0,13,1,1.2192,1,30,30,0.5426,762.733,603.033,761.575,602.654,-0.047500,0.047500
0,13,2,2.3049,1,30,26,1.0066,854.962,594.846,852.949,593.723,-0.020500,0.047500
0,13,3,0.9972,1,30,30,0.3000,889.900,614.000,890.601,613.291,-0.020500,0.020500
0,16,0,33.0065,0,28,17,0.8319,1076.118,677.000,1101.899,697.609,-0.013500,-0.047500
0,16,1,12.1754,0,28,28,1.1644,999.179,644.071,1007.239,653.197,-0.013500,-0.020500
0,16,2,34.9439,0,28,27,1.3649,1093.630,622.000,1124.414,638.534,0.013500,-0.020500
0,16,3,76.7761,0,28,28,0.8534,1170.857,643.536,1239.758,677.407,0.013500,-0.047500
0,17,0,9.4525,0,28,24,0.5713,986.417,635.000,988.227,644.277,-0.013500,-0.013500
0,17,1,0.8635,1,28,26,0.6761,928.192,616.923,928.914,616.450,-0.013500,0.013500
0,17,2,12.7210,0,28,25,0.8523,1015.440,601.000,1027.228,605.781,0.013500,0.013500
0,17,3,30.4439,0,28,28,0.8850,1074.536,615.536,1100.972,630.634,0.013500,-0.013500
0,21,0,87.6246,0,30,24,0.1998,1194.958,633.000,1273.169,672.511,0.020500,-0.047500
0,21,1,42.2695,0,30,30,0.4000,1116.000,614.800,1153.165,634.937,0.020500,-0.020500
0,21,2,80.4313,0,30,30,0.5754,1184.033,591.033,1258.358,621.774,0.047500,-0.020500
0,21,3,146.8069,0,30,30,0.3496,1257.033,602.100,1394.057,654.796,0.047500,-0.047500
0,22,0,36.7073,0,30,20,0.9152,1096.900,608.950,1128.704,627.278,0.020500,-0.013500
0,22,1,14.8740,0,30,30,0.4014,1038.067,596.967,1051.601,603.137,0.020500,0.013500
0,22,2,40.9640,0,30,30,0.6289,1103.267,579.000,1141.629,593.367,0.047500,0.013500
0,22,3,70.0781,0,30,30,0.8179,1165.767,587.900,1230.405,614.971,0.047500,-0.013500
1,0,0,8.7274,0,4,4,1.5811,634.500,567.500,642.486,571.020,-0.115500,-0.081500
1,0,1,11.1039,0,4,4,0.0000,645.000,583.000,654.010,589.490,-0.115500,-0.054500
1,0,2,0.5734,1,4,4,1.1180,548.000,583.500,547.688,583.981,-0.088500,-0.054500
1,0,3,0.7812,1,4,4,0.6614,548.500,567.250,549.108,566.759,-0.088500,-0.081500
1,1,0,10.0072,0,25,25,0.1960,648.960,590.000,657.541,595.149,-0.115500,-0.047500
1,1,1,13.9670,0,25,25,0.3919,663.000,613.080,674.055,621.616,-0.115500,-0.020500
1,1,2,1.5146,1,25,25,1.3833,545.000,612.080,545.250,613.574,-0.088500,-0.020500
1,1,3,1.5822,1,25,25,1.1634,547.080,590.800,547.256,589.228,-0.088500,-0.047500
1,2,0,13.7556,0,30,30,0.3000,668.100,622.000,679.288,630.003,-0.115500,-0.013500
1,2,1,20.2664,0,30,30,0.4819,690.000,657.367,704.919,671.083,-0.115500,0.013500
1,2,2,1.2995,1,30,30,0.3000,541.900,657.000,541.568,658.256,-0.088500,0.013500
1,2,3,0.6720,1,30,29,0.4080,543.966,621.069,544.619,621.224,-0.088500,-0.013500
1,3,0,22.3027,0,29,29,0.4279,696.759,670.000,713.464,684.777,-0.115500,0.020500
1,3,1,36.7715,0,29,29,0.4469,733.000,730.724,758.601,757.120,-0.115500,0.047500
1,3,2,1.1835,1,29,29,0.6615,536.172,732.655,535.365,733.521,-0.088500,0.047500
1,3,3,1.3409,1,29,29,1.0264,539.345,671.000,540.563,670.441,-0.088500,0.020500
1,6,0,1.9094,1,29,29,0.6792,520.690,589.552,520.016,587.765,-0.081500,-0.047500
